Date;Valeur (en kWh);
21/04/2023;14,67;
22/04/2023;15,34;
23/04/2023;28,60;
24/04/2023;17,88;
25/04/2023;19,77;
26/04/2023;14,33;
27/04/2023;18,80;
28/04/2023;17,63;
29/04/2023;23,34;
30/04/2023;17,29;
01/05/2023;20,36;
02/05/2023;16,94;
03/05/2023;16,31;
04/05/2023;15,97;
05/05/2023;17,13;
06/05/2023;19,89;
07/05/2023;21,96;
08/05/2023;23,23;
09/05/2023;15,53;
10/05/2023;24,01;
11/05/2023;14,49;
12/05/2023;14,27;
13/05/2023;15,68;
14/05/2023;16,14;
15/05/2023;15,27;
16/05/2023;22,37;
17/05/2023;17,21;
18/05/2023;15,94;
19/05/2023;13,81;
20/05/2023;16,72;
21/05/2023;16,03;
22/05/2023;16,70;
23/05/2023;14,28;
24/05/2023;18,91;
25/05/2023;17,66;
26/05/2023;13,20;
27/05/2023;13,69;
28/05/2023;11,14;
29/05/2023;17,43;
30/05/2023;14,16;
31/05/2023;16,64;
01/06/2023;19,19;
02/06/2023;19,47;
03/06/2023;14,82;
04/06/2023;27,48;
05/06/2023;12,07;
06/06/2023;15,06;
07/06/2023;17,09;
08/06/2023;15,77;
09/06/2023;20,85;
10/06/2023;17,75;
11/06/2023;25,04;
12/06/2023;15,48;
13/06/2023;21,28;
14/06/2023;22,02;
15/06/2023;17,53;
16/06/2023;25,03;
17/06/2023;34,23;
18/06/2023;31,90;
19/06/2023;30,18;
20/06/2023;28,10;
21/06/2023;36,54;
22/06/2023;25,92;
23/06/2023;26,70;
24/06/2023;22,94;
25/06/2023;24,87;
26/06/2023;19,97;
27/06/2023;17,94;
28/06/2023;21,49;
29/06/2023;25,43;
30/06/2023;30,24;
01/07/2023;26,01;
02/07/2023;22,04;
03/07/2023;25,63;
04/07/2023;29,62;
05/07/2023;22,70;
06/07/2023;21,92;
07/07/2023;18,72;
08/07/2023;22,17;
09/07/2023;36,15;
10/07/2023;32,38;
11/07/2023;26,77;
12/07/2023;25,18;
13/07/2023;13,02;
14/07/2023;19,92;
15/07/2023;24,23;
16/07/2023;23,09;
17/07/2023;15,73;
18/07/2023;20,19;
19/07/2023;23,63;
20/07/2023;25,87;
21/07/2023;24,05;
22/07/2023;21,85;
23/07/2023;22,64;
24/07/2023;24,19;
25/07/2023;29,01;
26/07/2023;23,81;
27/07/2023;27,37;
28/07/2023;31,45;
29/07/2023;27,41;
30/07/2023;26,56;
31/07/2023;23,14;
01/08/2023;24,79;
02/08/2023;27,84;
03/08/2023;26,21;
04/08/2023;26,95;
05/08/2023;26,70;
06/08/2023;26,72;
07/08/2023;27,71;
08/08/2023;29,01;
09/08/2023;26,77;
10/08/2023;25,15;
11/08/2023;25,04;
12/08/2023;31,93;
13/08/2023;39,18;
14/08/2023;17,49;
15/08/2023;17,65;
16/08/2023;18,04;
17/08/2023;23,01;
18/08/2023;18,16;
19/08/2023;15,39;
20/08/2023;19,53;
21/08/2023;22,35;
22/08/2023;29,97;
23/08/2023;29,12;
24/08/2023;28,11;
25/08/2023;26,60;
26/08/2023;32,95;
27/08/2023;27,44;
28/08/2023;24,37;
29/08/2023;27,41;
30/08/2023;26,61;
31/08/2023;25,81;
01/09/2023;24,64;
02/09/2023;27,26;
03/09/2023;33,16;
04/09/2023;28,20;
05/09/2023;27,97;
06/09/2023;25,90;
07/09/2023;28,43;
08/09/2023;25,87;
09/09/2023;27,01;
10/09/2023;32,47;
11/09/2023;29,49;
12/09/2023;28,13;
13/09/2023;25,69;
14/09/2023;29,83;
15/09/2023;24,96;
16/09/2023;22,93;
17/09/2023;30,79;
18/09/2023;37,75;
19/09/2023;28,40;
20/09/2023;24,77;
21/09/2023;26,87;
22/09/2023;25,47;
23/09/2023;19,02;
24/09/2023;34,93;
25/09/2023;26,85;
26/09/2023;25,04;
27/09/2023;20,37;
28/09/2023;22,07;
29/09/2023;22,90;
30/09/2023;33,89;
01/10/2023;27,71;
